ID відповіді,Чи повністю заповнене,Остання сторінка,Дата початку,Дата останньої дії,Чи згодні Ви взяти участь в опитуванні?,Чи виповнилося Вам 18 років?,"Чи брали Ви участь хоча б один раз у протестах, що почалися 16 липня після того, як Михайла Федорова не було повторно призначено міністром оборони?",Ваша стать:,Скільки Вам повних років?,В якій області Ви зараз проживаєте?,Що найкраще описує рід Вашої діяльності зараз? [Навчаюсь у школі],Що найкраще описує рід Вашої діяльності зараз? [Навчаюсь у ПТУ/коледжі/училищі],Що найкраще описує рід Вашої діяльності зараз? [Навчаюсь у закладі вищої освіти (студент/курсант/аспірант)],Що найкраще описує рід Вашої діяльності зараз? [Перебуваю у ЗСУ],Що найкраще описує рід Вашої діяльності зараз? [Працюю],Що найкраще описує рід Вашої діяльності зараз? [У декреті або піклуюсь про дитину/інших осіб],Що найкраще описує рід Вашої діяльності зараз? [На пенсії],"Що найкраще описує рід Вашої діяльності зараз? [Не працюю (не маю оплачуваної роботи, не в декреті, не на пенсії, не навчаюсь)]",Що найкраще описує рід Вашої діяльності зараз? [Інше],У якому місті (яких містах) Ви виходили на протест?,Які з цих обставин найбільше посприяли Вашому рішенню вийти на мітинг? [Мене покликали родичі/друзі/знайомі],"Які з цих обставин найбільше посприяли Вашому рішенню вийти на мітинг? [Побачив(-ла) дописи або повідомлення від людей, яких я знаю особисто, у соцмережах]","Які з цих обставин найбільше посприяли Вашому рішенню вийти на мітинг? [Побачив(-ла) заклик від медіа, блогерів або в тематичних протестних спільнотах, на які я підписаний(-а)]","Які з цих обставин найбільше посприяли Вашому рішенню вийти на мітинг? [Приєднався(-лась) до організованої групи, до якої належу (студентська спільнота, громадська організація тощо)]",Які з цих обставин найбільше посприяли Вашому рішенню вийти на мітинг? [Опинився(-лась) поруч і вирішив(-ла) приєднатися],"Які з цих обставин найбільше посприяли Вашому рішенню вийти на мітинг? [Приклад родичів/друзів/знайомих, які виходили раніше]",Які з цих обставин найбільше посприяли Вашому рішенню вийти на мітинг? [Інше],"Звідки Ви, головним чином, дізнавались про дату, час і місце зібрань? [З груп/каналів/чатів у соцмережах/месенджерах, присвячених протесту]","Звідки Ви, головним чином, дізнавались про дату, час і місце зібрань? [Випадково натрапив(-ла) на інформацію у стрічці соцмереж або в месенджерах]","Звідки Ви, головним чином, дізнавались про дату, час і місце зібрань? [Через новини (новинні сайти, ТБ, друковані медіа, YouTube-канали медіа, новинні Telegram канали тощо)]","Звідки Ви, головним чином, дізнавались про дату, час і місце зібрань? [Від знайомих/друзів/членів сім’ї/колег]","Звідки Ви, головним чином, дізнавались про дату, час і місце зібрань? [Інше]",Як би Ви сформулювали мету своєї участі в цих зібраннях?,"Чи виходили Ви на протести після того, як Михайло Драпатий замінив Олександра Сирського на посаді головнокомандувача ЗСУ?",А чи плануєте Ви у найближчий тиждень виходити на протести?,"Якщо Михайла Федорова призначать міністром оборони, чи продовжите Ви виходити на протести у найближчий тиждень після цього?","Припустимо, міністром оборони стане не Федоров, а інша людина, яка публічно зобов'яжеться продовжувати розпочаті ним реформи. Чи продовжите Ви виходити на протести у найближчий тиждень після цього?",Наскільки Ви довіряєте... [Володимиру Зеленському],Наскільки Ви довіряєте... [Михайлу Федорову],Наскільки Ви довіряєте... [Олександру Сирському],Наскільки Ви довіряєте... [Михайлу Драпатому],Наскільки Ви довіряєте... [Ігорю Клименку],Наскільки Ви довіряєте... [Євгенію Хмарі],Яким українським політичним діячам Ви довіряєте найбільше?,"У політиці люди часто говорять про ""лівих"" та ""правих"". Де б Ви розташували себе на цій шкалі, якщо 0 означає ""Ліві"", а 10 означає ""Праві""?","Наскільки Ви погоджуєтесь або не погоджуєтесь із твердженням: ""Слухняність і повага до влади – це найважливіші цінності, які повинні засвоїти діти""?","Наскільки для Вас прийнятно, щоб в Україні був сильний лідер, який стоїть над законом?","Чи брали Ви участь в акціях протесту проти закону №12414, котрий обмежував повноваження НАБУ та САП, хоча б один раз протягом 22-31 липня 2025 року?"
32,Так,10,2026-07-24 10:15:07,2026-07-24 10:21:07,Так,Так,Так,Чоловіча,19,Київська,Ні,Ні,Так,Ні,Ні,Ні,Ні,Ні,,Київ,Ні,Ні,Ні,Так,Ні,Ні,"Відчув, що рішення шкідливе",Так,Ні,Так,Ні,,Прояв громадської незгоди та допомога Президенту виправити помилки,Ні,Скоріше так,Скоріше ні,Скоріше так,5,6,1 - Зовсім не довіряю,6,4,5,Федорову,3,Зовсім не погоджуюсь,0 - Зовсім неприйнятно,Так
33,Так,10,2026-07-24 10:16:28,2026-07-24 10:25:27,Так,Так,Так,Чоловіча,33,м. Київ,Ні,Ні,Так,Ні,Ні,Ні,Ні,Так,,Київ,Ні,Ні,Ні,Ні,Ні,Ні,Незгода з рішеннями влади,Ні,Так,Ні,Ні,,"Відставка Сирського і ко, повернення в Міноборони команди здатної і готової робити реформи армії, закупівель.",Так,Безумовно так,Скоріше ні,Важко відповісти,1 - Зовсім не довіряю,6,1 - Зовсім не довіряю,4,1 - Зовсім не довіряю,Важко сказати,"Соболєв, Качка, Желєзняк",4,Зовсім не погоджуюсь,0 - Зовсім неприйнятно,Так
34,Так,10,2026-07-24 10:19:49,2026-07-24 10:24:25,Так,Так,Так,Жіноча,28,м. Київ,Ні,Ні,Так,Ні,Так,Ні,Ні,Ні,,Київ,Ні,Ні,Так,Ні,Ні,Ні,,Так,Ні,Ні,Ні,,Призначення Федорова міністром оборони,Ні,Скоріше так,Точно ні,Важко відповісти,4,7 - Повністю довіряю,3,6,Важко сказати,Важко сказати,"Федоров, Свириденко",5,Зовсім не погоджуюсь,0 - Зовсім неприйнятно,Так
35,Так,10,2026-07-24 10:19:55,2026-07-24 10:28:05,Так,Так,Так,Жіноча,20,м. Київ,Ні,Ні,Так,Ні,Так,Ні,Ні,Ні,,Київ,Ні,Так,Ні,Так,Ні,Ні,,Так,Ні,Ні,Ні,,"Висловити позицію щодо незгоди дій влади, підтримати ідею цифровізації армії, де це можливо, заради збереження людського капіталу, а також показати, що народу небайдуже щодо змін в країні",Ні,Важко відповісти,Скоріше ні,Скоріше ні,3,4,3,Важко сказати,3,"Не знаю, хто це","Стерненко, Козятинський, Совсун, Лозинський, Грищук, Соболєв",Важко сказати,"Наскільки погоджуюсь, настільки і не погоджуюсь",2,Так
36,Так,10,2026-07-24 10:20:19,2026-07-24 11:00:36,Так,Так,Так,Чоловіча,31,м. Київ,Ні,Ні,Так,Ні,Так,Ні,Ні,Ні,,Київ,Ні,Ні,Так,Так,Ні,Ні,,Так,Ні,Ні,Так,,Привернути увагу до важливості перезавантаження ДБР,Ні,Скоріше так,Точно ні,Точно ні,2,5,3,7 - Повністю довіряю,4,6,Ярослав Железняк,8,Зовсім не погоджуюсь,0 - Зовсім неприйнятно,Так
37,Так,10,2026-07-24 10:21:00,2026-07-24 10:25:20,Так,Так,Так,Жіноча,18,м. Київ,Ні,Ні,Так,Ні,Так,Ні,Ні,Ні,,київ,Ні,Ні,Ні,Так,Ні,Так,,Так,Ні,Ні,Ні,,проти фігні яку в черговий раз творить влада. щоб вимоги громадянського суспільства були почутими,Ні,Безумовно так,Скоріше ні,Скоріше так,2,6,3,6,"Не знаю, хто це","Не знаю, хто це",нікому особливо не можна довіряти. але федоров слей,3,Зовсім не погоджуюсь,0 - Зовсім неприйнятно,Ні
38,Так,10,2026-07-24 10:21:45,2026-07-24 10:31:13,Так,Так,Так,Жіноча,33,Київська,Ні,Ні,Ні,Ні,Так,Ні,Ні,Ні,,Київ,Ні,Так,Ні,Ні,Ні,Ні,,Так,Так,Ні,Ні,,"Людський потенціал в Україні меньший ніж в рашці, логічно що треба вкладатися і розвивати галузі які можуть замінити людиу, або підсилити її, технології і штучний інтелект. Федорів здається цим і займається",Ні,Скоріше так,Скоріше ні,Скоріше так,6,6,4,6,4,6,,3,Зовсім не погоджуюсь,0 - Зовсім неприйнятно,Ні
39,Так,10,2026-07-24 10:28:43,2026-07-24 10:35:51,Так,Так,Так,Чоловіча,23,м. Київ,Ні,Ні,Ні,Ні,Так,Ні,Ні,Ні,,Київ,Так,Ні,Ні,Ні,Ні,Ні,,Ні,Ні,Ні,Так,,"Федоров досі має бути міністром оборони.
Кім не ветеран, не має бути міністром у справах ветеранів.
Реформа ДБР — директор бюро Сухачов виступає проти реформи.
Геть Цуцкірідзе — в. о. Нацполу: кум і людина Татарова; працював на останнього, коли той заявляв, що майданівці самі себе розстрілювали і калічили.
Геть Поклада — т. в. о. СБУ: колись помічник нардепів від Партії регіонів, приклав руку до атаки на НАБУ і САП.
Проти корупції, схем, права виходу топ-корупціонерів під заставу",Так,Безумовно так,Безумовно так,Безумовно так,1 - Зовсім не довіряю,3,1 - Зовсім не довіряю,7 - Повністю довіряю,1 - Зовсім не довіряю,3,"Я довіряю народу України, ветеранам, патріотам які відстоюють громадянське суспільство, засудженим патріотам на кшталт Дудіна й Червінського. До вищого керівництва держави довіри 0. ""Лідерам суспільної думки"" не довіряю",8,Зовсім не погоджуюсь,1,Так
40,Так,10,2026-07-24 10:29:10,2026-07-24 10:34:07,Так,Так,Так,Чоловіча,19,м. Київ,Ні,Ні,Так,Ні,Так,Ні,Ні,Ні,,Київ,Ні,Ні,Ні,Так,Ні,Ні,,Так,Ні,Ні,Ні,,"За необхідну реформацію в армії, проти швидких та необґрунтованих змін, що призведуть до хаосу в управлінні армією",Ні,Скоріше ні,Точно ні,Скоріше ні,1 - Зовсім не довіряю,6,3,5,1 - Зовсім не довіряю,6,"Нікому не довіряю, ми не достатньо знаємо про ситуацію в кулуарах. Але, поки найкраще до Федорова відношуся. З відкритих джерел дізнався про Хмару, і його бездоганну репутацію, так що, треба про нього більше дізнаватися",8,Зовсім не погоджуюсь,0 - Зовсім неприйнятно,Ні
41,Так,10,2026-07-24 10:29:13,2026-07-24 10:34:14,Так,Так,Так,Жіноча,19,м. Київ,Ні,Ні,Так,Ні,Так,Ні,Ні,Ні,,Київ,Так,Ні,Так,Ні,Ні,Ні,,Так,Так,Ні,Ні,,"Відстояти людину, яка насправді активно щось змінювала і за пів року показала сильний результат",Так,Скоріше так,Скоріше ні,Скоріше так,3,5,2,6,3,5,"Федорову, Інні Совсун, Грищуку",3,Не погоджуюсь,2,Так
42,Так,10,2026-07-24 10:29:21,2026-07-24 10:36:32,Так,Так,Так,Жіноча,31,м. Київ,Ні,Ні,Ні,Ні,Так,Ні,Ні,Ні,,Київ,Ні,Так,Так,Ні,Ні,Ні,,Так,Ні,Так,Ні,,"Мене обурила форма. Це непродумане рішення, з незрозумілою комунікацією. На виході маємо купу колізій. Я все таке за те, щоб президент поважав процедури та Конституцію",Ні,Скоріше так,Скоріше ні,Скоріше так,2,5,4,6,5,5,Совсун,5,Зовсім не погоджуюсь,0 - Зовсім неприйнятно,Так
43,Так,10,2026-07-24 10:32:08,2026-07-24 10:41:08,Так,Так,Так,Жіноча,34,м. Київ,Ні,Ні,Ні,Ні,Ні,Ні,Ні,Так,,Київ,Ні,Так,Так,Ні,Ні,Ні,,Так,Ні,Ні,Ні,,Проти антиконституційних рішень Зеленського. Проти безпідставного розформування уряду. Проти саботажу реформ євроінтеграції. Проти свавілля і узурпації влади Зеленським.,Так,Безумовно так,Безумовно так,Безумовно так,1 - Зовсім не довіряю,3,2,4,6,6,"Луценко, Чалий, Залужний, Клімкін",3,Не погоджуюсь,0 - Зовсім неприйнятно,Так
